sim_time,super_dense_time,controller.moveDiscreteCommand,controller.MovementArgs_target_X,controller.MovementArgs_target_Y,controller.MovementArgs_target_Z,dmodel.movediscrete,mapping.q0,mapping.q1,mapping.q2,mapping.q3,mapping.q4,mapping.q5,mapping.robotStopped,mapping.moveCompleted
0.0,1,False,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,True,True
0.5,1,False,0.0,0.0,0.0,False,-3.643791890439729e-08,-0.00030881650172220887,1.3322676295501878e-15,-0.00012357014026687096,6.286912560327096e-06,-0.0001211264284388669,True,True
1.0,1,False,0.0,0.0,0.0,False,-1.290193273995044e-06,-0.0008443737649161953,3.9968028886505635e-15,-0.0002683074693945464,-1.4428119143872209e-08,-0.00014321102033765243,True,True
1.5,1,False,0.0,0.0,0.0,False,9.912708223147604e-07,-0.0002765182586847992,1.7763568394002505e-15,-2.8689114673241534e-05,1.4074513422279722e-05,-7.731533174126781e-05,True,True
2.0,1,False,0.0,0.0,0.0,False,-1.0808011507990045e-07,-0.001599283375060434,1.7763568394002505e-15,-0.0002383176645683882,5.889867193964449e-07,-9.579512188384598e-05,True,True
2.5,1,False,0.0,0.0,0.0,False,2.2107278674354802e-07,-0.0006050297872928212,-1.7763568394002505e-15,-0.00018133348558135864,1.3402411305207806e-06,-3.503233875390421e-05,True,True
3.0,1,False,0.0,0.0,0.0,False,-2.0728100378342162e-06,-0.0026154697546436623,-4.884981308350689e-15,-0.00010976463009049198,2.128007321466896e-06,-0.0002164002363111983,True,True
3.5,1,False,0.0,0.0,0.0,False,6.800147889229891e-07,-0.00012809701347915592,-6.661338147750939e-15,0.0001161330843255648,3.880607673423242e-06,-0.0002406851764416018,True,True
4.0,1,False,0.0,0.0,0.0,False,-7.016239944590552e-07,0.0010879057884762844,-4.440892098500626e-15,0.00039214562977107903,4.654156730232728e-06,-0.0001242356943644829,True,True
4.5,1,False,0.0,0.0,0.0,False,6.318253857884315e-07,-0.0012067487093037066,-4.440892098500626e-15,-9.929081986737032e-05,3.959897806549151e-06,9.546444028307732e-05,True,True
5.0,1,True,0.0,23.0,1.0,False,9.608207975908556e-07,-0.0003833646109705491,-4.440892098500626e-15,-2.8646334230497672e-05,7.312598724329433e-06,-0.0001916807867039516,True,True
5.5,1,False,0.0,23.0,1.0,True,-4.227291289460311e-06,-0.001439392691065411,-8.881784197001252e-15,-0.000372146027938669,5.403739764542337e-06,-0.0003012855036326201,True,True
6.0,1,False,0.0,23.0,1.0,True,1.681398609676421e-06,-0.003482147522545276,-7.993605777301127e-15,-0.000610923137948749,1.0371219151483757e-05,-4.991192049441651e-06,True,False
6.5,1,False,0.0,23.0,1.0,True,9.845690581489208e-06,-0.001075188381047365,-3.9968028886505635e-15,-0.00035750999210737433,9.27377294246412e-06,-0.0001399323594730717,False,False
7.0,1,False,0.0,23.0,1.0,True,-0.008541776114463051,-0.00899806924744162,0.008428303963119443,-0.012100323625171328,-0.008496398267807237,-0.005893527693681122,False,False
7.5,1,False,0.0,23.0,1.0,True,-0.21712881577206034,-0.2304399260594403,0.221616318600117,-0.2545634192645765,-0.22123598092287233,-0.06577847132788639,False,False
8.0,1,False,0.0,23.0,1.0,True,-0.9905357192309543,-1.085360925210419,1.0428084694944202,-1.2272300018256246,-0.9992064598938502,-0.06720459922100064,True,False
8.5,1,False,0.0,23.0,1.0,True,-1.473830298104014,-1.6152092502624935,1.529638196655906,-1.9302660100576459,-1.422525815060835,-0.06700643941773743,True,False
9.0,1,False,0.0,23.0,1.0,True,-1.6579392442790644,-1.7520202329853918,1.6463167927185731,-2.241095674706375,-1.5017300883781397,-0.06761880678094023,True,True
9.5,1,False,0.0,23.0,1.0,True,-1.6657548114791636,-1.7432567258272043,1.6485805138434424,-2.2635679937220283,-1.5033680041181805,-0.06716908696048307,True,True
10.0,1,False,0.0,23.0,1.0,True,-1.6657135433803365,-1.7429216991594565,1.6485805138434406,-2.2638589711848907,-1.5036344604423189,-0.06715768542408185,True,True
