time,{mapping}.mapping.feasibleMoveDiscreteCommand,{mapping}.mapping.robotStopped,{mapping}.mapping.gripperOpened,{mapping}.mapping.collision,{mapping}.mapping.gripperClosed,{mapping}.mapping.nonfeasibleMoveDiscreteCommand,{mapping}.mapping.moveCompleted,{mapping}.mapping.q0,{mapping}.mapping.q1,{mapping}.mapping.q2,{mapping}.mapping.q3,{mapping}.mapping.q4,{mapping}.mapping.q5,{mapping}.mapping.qd0,{mapping}.mapping.qd1,{mapping}.mapping.qd2,{mapping}.mapping.qd3,{mapping}.mapping.qd4,{mapping}.mapping.qd5,{rmqfmu}.rmqfmu.closeGripperCommand,{rmqfmu}.rmqfmu.openGripperCommand,{rmqfmu}.rmqfmu.moveDiscreteCommand,{rmqfmu}.rmqfmu.MovementArgs_target_X,{rmqfmu}.rmqfmu.MovementArgs_target_Y,{rmqfmu}.rmqfmu.MovementArgs_target_Z,{dmodel}.dmodel.movediscrete,{dmodel}.dmodel.pick,{dmodel}.dmodel.place,{dmodel}.dmodel.target_X,{dmodel}.dmodel.target_Y,{dmodel}.dmodel.target_Z,{dmodel}.dmodel.closing_diameter,{dmodel}.dmodel.closing_speed,{dmodel}.dmodel.closing_force,{dmodel}.dmodel.opening_diameter,{dmodel}.dmodel.opening_speed,{dmodel}.dmodel.opening_force,{dmodel}.dmodel.stop,{dmodel}.dmodel.movejoint,{dmodel}.dmodel.target_q0,{dmodel}.dmodel.target_q1,{dmodel}.dmodel.target_q2,{dmodel}.dmodel.target_q3,{dmodel}.dmodel.target_q4,{dmodel}.dmodel.target_q5,{dmodel}.dmodel.movecartesian,{dmodel}.dmodel.target_x,{dmodel}.dmodel.target_y,{dmodel}.dmodel.target_z,{dmodel}.dmodel.target_rx,{dmodel}.dmodel.target_ry,{dmodel}.dmodel.target_rz,{dmodel}.dmodel.setvelocity,{dmodel}.dmodel.target_v,{dmodel}.dmodel.state
2.5,true,false,true,false,false,false,false,-0.34638998329480675,-0.47194219003229687,0.36594773027352945,-0.4204618266080775,-0.4218382851572082,-0.06732098900287875,-1.17325237325068,-1.3547938377226854,1.2036688922263652,-1.3673873455435206,-1.1499304099006369,-5.288253743351958E-4,false,false,false,0,0,0,true,false,false,0,23,1,0.0,0.0,0.0,0.0,0.0,0.0,false,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,ArmMove
2.75,true,false,true,false,false,false,false,-0.7875077131051174,-0.9252585763943353,0.7881586363398916,-0.8381696578334425,-0.7715652110155795,-0.06711001707625819,-1.2684923310451617,-1.3478614226979888,1.2861152841537933,-1.555597181872803,-1.2092605972857031,0.00470697602814606,false,false,false,0,0,0,true,false,false,0,23,1,0.0,0.0,0.0,0.0,0.0,0.0,false,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,ArmMove
3.0,true,false,true,false,false,false,false,-1.087090064431238,-1.2488188396939899,1.1040651170213875,-1.307570198698195,-1.1169943073025879,-0.06685927531669877,-1.169336240416991,-1.2124081928899124,1.1258656826793627,-1.5356290540395265,-0.9903493173620832,-0.014772950008177155,false,false,false,0,0,0,true,false,false,0,23,1,0.0,0.0,0.0,0.0,0.0,0.0,false,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,ArmMove
3.25,true,false,true,false,false,false,false,-1.5021335866805625,-1.660541726632589,1.5296381752081398,-1.8746234100397476,-1.425085067164079,-0.06731342398385465,-0.6731453838287051,-0.6077666701893962,0.5843820050663392,-1.2074735281547677,-0.44608154776490627,5.585471916979239E-4,false,false,false,0,0,0,true,false,false,0,23,1,0.0,0.0,0.0,0.0,0.0,0.0,false,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,ArmMove
3.5,true,true,true,false,false,false,false,-1.6200921625446405,-1.7376562875997168,1.6230762406591506,-2.112536323849783,-1.490669606496887,-0.06730189313458856,-0.28891206872176867,-0.15289727868610212,0.20345314402320386,-0.6995909341285483,-0.0816034960759865,0.005669569897025719,false,false,false,0,0,0,true,false,false,0,23,1,0.0,0.0,0.0,0.0,0.0,0.0,false,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,ArmMove
3.75,true,true,true,false,false,false,true,-1.6611000941351932,-1.7510461679997826,1.646316764655487,-2.229862456286937,-1.5012664757150143,-0.06743074766032597,-0.010372168555504201,0.06677903050941247,0.012489218449649722,-0.021679715560726173,-0.014387220807063866,0.006401045892267086,false,false,false,0,0,0,true,false,false,0,23,1,0.0,0.0,0.0,0.0,0.0,0.0,false,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,ArmMove
4.0,true,true,true,false,false,false,true,-1.6657314460265251,-1.7420386607039795,1.6485805153581081,-2.2641597232028987,-1.5033207605033239,-0.06657683531707059,0.006426391905910539,0.03096828893535757,0.0,0.01128045715645777,-0.005151805762259348,0.0030226545341344993,false,false,false,0,0,0,true,false,false,0,23,1,0.0,0.0,0.0,0.0,0.0,0.0,true,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,ArmStop
4.25,true,true,true,false,false,false,true,-1.665803747970343,-1.741385431779591,1.6485805153581072,-2.26381331088517,-1.5032370314136196,-0.0665065636183031,-0.007378517979005307,0.022426526999726852,0.0,0.011075828020777268,-0.007108105991270318,-9.79935949007984E-4,false,false,false,0,0,0,true,false,false,0,23,1,0.0,0.0,0.0,0.0,0.0,0.0,true,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,ArmStop
4.5,true,true,true,false,false,false,true,-1.665834274018498,-1.74043764082559,1.6485805153581063,-2.2637638001242655,-1.5037125603310377,-0.06715030785092901,-0.005925893364810048,-0.030893620594869164,-1.7763568393999728E-13,-0.010587611115651662,-0.002311223785511268,-0.009884178174777833,false,false,false,0,0,0,true,false,false,0,23,1,0.0,0.0,0.0,0.0,0.0,0.0,true,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,ArmStop
4.75,true,true,true,false,false,false,true,-1.6658935249961129,-1.7422418763953118,1.6485805153581063,-2.2641291460118245,-1.5037612974256893,-0.06746088443025311,0.005416585734251675,0.0027838812467702125,0.0,0.005618102886372443,0.007188587218464035,6.875951052974818E-4,false,false,false,0,0,0,true,false,false,0,23,1,0.0,0.0,0.0,0.0,0.0,0.0,true,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,ArmStop
5.0,true,true,true,false,false,false,true,-1.6659145091549172,-1.742080665899489,1.6485805153581046,-2.2641467679504856,-1.5038158479772505,-0.0676354281008047,0.0051829879968315565,-0.04425004180336619,-1.7763568393999728E-13,-0.01692437455442521,-0.013236086314447766,-0.012345454711224793,false,false,false,0,0,0,true,false,false,0,23,1,0.0,0.0,0.0,0.0,0.0,0.0,true,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,ArmStop
5.25,true,true,true,false,false,false,true,-1.66588430610169,-1.7414178905383864,1.6485805153581028,-2.2636630341260444,-1.5035560360240492,-0.06730677702598786,0.004719284977738142,6.636342350318031E-4,0.0,2.5131320064982154E-4,0.004972317028694495,0.006850807204105175,false,false,false,0,0,0,true,false,false,0,23,1,0.0,0.0,0.0,0.0,0.0,0.0,true,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,ArmStop
5.5,true,true,true,false,false,false,true,-1.6657611290075582,-1.7399497129511206,1.648580515358101,-2.2634275675773834,-1.503179193118772,-0.06634567665185509,-0.0014659711402129556,0.059229805258089366,0.0,0.01756512160077942,-0.0024084863968095293,-0.005275229781442078,false,false,false,0,0,0,true,false,false,0,23,1,0.0,0.0,0.0,0.0,0.0,0.0,true,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,ArmStop
5.75,true,true,true,false,false,false,true,-1.665922936160002,-1.7412217353909805,1.6485805153581001,-2.2636069791499276,-1.5034014404189504,-0.06717425364497842,8.444684699070238E-4,-0.036298522538297115,0.0,-0.013344053025219484,0.004062395672654238,-9.026356726947437E-4,false,false,true,3,20,2,true,false,false,0,23,1,0.0,0.0,0.0,0.0,0.0,0.0,true,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,ArmStop
6.0,true,true,true,false,false,false,true,-1.665788798704214,-1.7410324069241936,1.6485805153580992,-2.2638039849180673,-1.5037598706648598,-0.06713015394200506,0.003140432220404896,0.014633139829986973,0.0,0.0073337129959926885,0.0031173475010243933,-0.0068451660153446125,false,false,false,0,0,0,true,false,false,3,20,2,0.0,0.0,0.0,0.0,0.0,0.0,true,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,ArmMove
6.25,true,false,true,false,false,false,false,-1.66641702409708,-1.74148919476204,1.6491440385361038,-2.263273897875374,-1.502233195753405,-0.06994967828609155,-0.03009707793583756,-0.03964936183481973,0.0353429169850317,0.0319840189906223,0.027926660086126175,-0.0434491034179739,false,false,false,0,0,0,true,false,false,3,20,2,0.0,0.0,0.0,0.0,0.0,0.0,true,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,ArmStop
6.5,true,false,true,false,false,false,false,-1.7739293623759265,-1.8765651732462771,1.7766566758966347,-2.17760701232699,-1.375818685622895,-0.2185265258025506,-0.5485009200989519,-0.4734844945924947,0.4820450917560805,0.21644551099747558,0.49441010800289664,-0.5534970568133369,false,false,false,0,0,0,true,false,false,3,20,2,0.0,0.0,0.0,0.0,0.0,0.0,true,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,ArmStop
6.75,true,false,true,false,false,false,false,-2.011168498946664,-2.0453821503493144,1.9441172740996224,-2.1328025439171396,-1.2007709265612414,-0.41365867106521215,-0.4953698704162626,-0.45491872278795137,0.4300402589106905,0.009027370571955384,0.43217457598736425,-0.49593454505593176,false,false,false,0,0,0,true,false,false,3,20,2,0.0,0.0,0.0,0.0,0.0,0.0,true,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,ArmStop
7.0,true,true,true,false,false,false,false,-2.2083055475249056,-2.1329833139036873,2.039511748004352,-2.1303197787073325,-1.0866588913698623,-0.5509442292659346,-0.30241613140495605,-0.05979403281059124,0.030600105856488303,-0.024620539257820855,0.05312671902951984,-0.051781467956405154,false,false,false,0,0,0,true,false,false,3,20,2,0.0,0.0,0.0,0.0,0.0,0.0,true,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,ArmStop
7.25,true,true,true,false,false,false,true,-2.2919855401715905,-2.12731173681974,2.0435572476319868,-2.1302774286354955,-1.0842129682854162,-0.5574712162428828,-0.012981731471659787,-0.06847036346256981,1.773553179873211E-5,-0.023161583647276204,0.0018647703237559127,2.0221186476373669E-4,false,false,false,0,0,0,true,false,false,3,20,2,0.0,0.0,0.0,0.0,0.0,0.0,true,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,ArmStop
7.5,true,true,true,false,false,false,true,-2.2930894950415217,-2.1291663641496976,2.0435605359833273,-2.130839074111969,-1.0840014316317461,-0.5571360371941787,-0.0011614345698516676,0.005772015894399893,0.0,0.007642410655604919,-0.004640414792866195,0.009824189776173739,false,false,false,0,0,0,true,false,false,3,20,2,0.0,0.0,0.0,0.0,0.0,0.0,true,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,ArmStop
7.75,true,true,true,false,false,false,true,-2.2929944095656074,-2.128635572551617,2.0435605359833255,-2.1301204207018882,-1.0840326035225791,-0.5569383144420246,0.0011957916422391682,0.04148407737326324,0.0,0.015925116356999395,0.004547537510647198,-0.007343348603595996,false,false,false,0,0,0,true,false,false,3,20,2,0.0,0.0,0.0,0.0,0.0,0.0,true,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,ArmStop
8.0,true,true,true,false,false,false,true,-2.2930193930900558,-2.1276647264548005,2.0435605359833264,-2.130173658381705,-1.0842108856615944,-0.5575499707364959,0.003525638451585413,0.02428034376010174,0.0,0.011547862004237595,-0.013464423466305511,-0.007880315064402912,false,false,false,0,0,0,true,false,false,3,20,2,0.0,0.0,0.0,0.0,0.0,0.0,true,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,ArmStop
8.25,true,true,true,false,false,false,true,-2.2930941865869654,-2.1283919665060482,2.043560535983328,-2.130569344670401,-1.0839486126857487,-0.557270294501961,-0.0046647738978232,-0.020489196463029016,0.0,-0.009445158339362538,-0.009058874369928941,0.008616444678734618,false,false,true,8,10,0,true,false,false,3,20,2,0.0,0.0,0.0,0.0,0.0,0.0,true,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,ArmStop
8.5,true,true,true,false,false,false,true,-2.2929793624820123,-2.127717392808977,2.0435605359833273,-2.1304360347423534,-1.0845517810796883,-0.5573706091783999,5.195728741470485E-4,-0.053694459019492796,0.0,-0.016266529588907414,0.0019592452151332997,-0.007769342160558903,false,false,false,0,0,0,true,false,false,8,10,0,0.0,0.0,0.0,0.0,0.0,0.0,true,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,ArmMove
8.75,true,false,true,false,false,false,false,-2.293541606967879,-2.12750812258657,2.042997012803343,-2.130706059868003,-1.0842385293623966,-0.5582245570955684,-0.022910516753964612,-0.0697131498285014,-0.03534291708665186,-0.03993934362470326,0.00289074289483495,-0.02473332799582332,false,false,false,0,0,0,true,false,false,8,10,0,0.0,0.0,0.0,0.0,0.0,0.0,true,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,ArmStop
9.0,true,false,true,false,false,false,false,-2.3525261230198558,-2.0906291871960994,1.979728449431862,-2.158745487249413,-1.0365742906289057,-0.6090778366504166,-0.34135790931795323,0.349889106495452,-0.36998838272424706,-0.0813404687212744,0.3304465470720377,-0.404492920574287,false,false,false,0,0,0,true,false,false,8,10,0,0.0,0.0,0.0,0.0,0.0,0.0,true,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,ArmStop
9.25,true,false,true,false,false,false,false,-2.6232379341525434,-1.8279100915818107,1.8012451973754615,-2.1694475427243214,-0.847363916973833,-0.9361358004677651,-0.7866015122802283,0.8514460167395572,-0.312103068406051,1.8519239635143367E-4,0.3250875546125556,-0.8583098224587291,false,false,false,0,0,0,true,false,false,8,10,0,0.0,0.0,0.0,0.0,0.0,0.0,true,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,ArmStop
9.5,true,false,true,false,false,false,false,-2.842580205131548,-1.5733615718432725,1.7381561777255978,-2.1698966122308354,-0.7939665292319775,-1.1522203048352146,-0.4366986462771097,0.8240394451433849,-0.04437893691130229,-0.012249800190036403,0.06060406125386704,-0.796123028490728,false,false,false,0,0,0,true,false,false,8,10,0,0.0,0.0,0.0,0.0,0.0,0.0,true,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,ArmStop
