time,{mapping}.mapping.feasibleMoveDiscreteCommand,{mapping}.mapping.robotStopped,{mapping}.mapping.gripperOpened,{mapping}.mapping.collision,{mapping}.mapping.gripperClosed,{mapping}.mapping.nonfeasibleMoveDiscreteCommand,{mapping}.mapping.moveCompleted,{mapping}.mapping.q0,{mapping}.mapping.q1,{mapping}.mapping.q2,{mapping}.mapping.q3,{mapping}.mapping.q4,{mapping}.mapping.q5,{mapping}.mapping.qd0,{mapping}.mapping.qd1,{mapping}.mapping.qd2,{mapping}.mapping.qd3,{mapping}.mapping.qd4,{mapping}.mapping.qd5,{mapping}.mapping.qdd0,{mapping}.mapping.qdd1,{mapping}.mapping.qdd2,{mapping}.mapping.qdd3,{mapping}.mapping.qdd4,{mapping}.mapping.qdd5,{mapping}.mapping.t0,{mapping}.mapping.t1,{mapping}.mapping.t2,{mapping}.mapping.t3,{mapping}.mapping.t4,{mapping}.mapping.t5,{rmqfmu}.rmqfmu.closeGripperCommand,{rmqfmu}.rmqfmu.openGripperCommand,{rmqfmu}.rmqfmu.moveDiscreteCommand,{rmqfmu}.rmqfmu.MovementArgs_target_X,{rmqfmu}.rmqfmu.MovementArgs_target_Y,{rmqfmu}.rmqfmu.MovementArgs_target_Z,{dmodel}.dmodel.movediscrete,{dmodel}.dmodel.pick,{dmodel}.dmodel.place,{dmodel}.dmodel.target_X,{dmodel}.dmodel.target_Y,{dmodel}.dmodel.target_Z,{dmodel}.dmodel.closing_diameter,{dmodel}.dmodel.closing_speed,{dmodel}.dmodel.closing_force,{dmodel}.dmodel.opening_diameter,{dmodel}.dmodel.opening_speed,{dmodel}.dmodel.opening_force,{dmodel}.dmodel.stop,{dmodel}.dmodel.movejoint,{dmodel}.dmodel.target_q0,{dmodel}.dmodel.target_q1,{dmodel}.dmodel.target_q2,{dmodel}.dmodel.target_q3,{dmodel}.dmodel.target_q4,{dmodel}.dmodel.target_q5,{dmodel}.dmodel.movecartesian,{dmodel}.dmodel.target_x,{dmodel}.dmodel.target_y,{dmodel}.dmodel.target_z,{dmodel}.dmodel.target_rx,{dmodel}.dmodel.target_ry,{dmodel}.dmodel.target_rz,{dmodel}.dmodel.setvelocity,{dmodel}.dmodel.target_v,{dmodel}.dmodel.state
0.0,false,false,false,false,false,false,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,false,false,false,0,0,0,false,false,false,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,false,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,
0.5,false,true,true,false,false,false,true,2.5605272839790416E-6,-0.0010423021003558297,-7.549516567451064E-15,-2.8853417228269507E-4,8.891711854364104E-6,-2.293548488343511E-4,7.593276318829274E-6,0.032491853993921876,0.0,0.012631110333494447,-5.645873719650872E-4,0.008392425994330389,0.0,0.0,0.0,0.0,0.0,0.0,-42.51465476727881,68.78491429703455,29.830855853123705,11.496690931730335,-0.05422575022268172,-0.6085750973280696,false,false,false,0,0,0,false,false,false,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,false,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,
1.0,false,true,true,false,false,false,true,-3.1251272614163383E-6,3.415915595068597E-4,-8.881784197001252E-15,7.364798757514279E-5,2.3663259796080638E-8,-1.094486816799467E-4,5.771210018323936E-4,0.022154908318228667,0.0,0.020358980274793204,6.089135550446786E-4,0.0019097338386231807,0.0,0.0,0.0,0.0,0.0,0.0,-46.107293936811566,28.48410830611069,1.402534382700345,-8.07968761621883,0.03789196278378387,-5.172727613054045,false,false,false,0,0,0,false,false,false,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,false,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,
1.5,false,true,true,false,false,false,true,1.681398609676421E-6,-0.003482147522545276,-7.993605777301127E-15,-6.10923137948749E-4,1.0371219151483757E-5,-4.991192049441651E-6,1.290919651175698E-4,-0.011405416508925258,8.881784197001442E-14,-0.02453256953760582,-4.823205649096099E-4,-0.0016209659015054346,0.0,0.0,0.0,0.0,0.0,0.0,-44.8122629909646,40.754667528117594,-1.82875087358576,-11.401920280020196,0.029777620867940096,6.2898941017492245,false,false,true,0,23,1,false,false,false,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,false,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,
2.0,false,true,true,false,false,false,true,-7.556583273338191E-6,-4.1464142891278755E-4,-5.773159728050814E-15,4.8666379115047675E-5,9.27377294246412E-6,-1.399323594730717E-4,2.840614154564552E-4,-0.06349345850340662,0.0,-0.010938838129881622,6.292972970278888E-4,-5.244956708061577E-4,0.0,0.0,0.0,0.0,0.0,0.0,-48.014484450258195,22.415247088078974,-2.5565703302790768,-10.820060625365187,0.01792117088140204,4.7742018110458915,false,false,false,0,0,0,true,false,false,0,23,1,0.0,0.0,0.0,0.0,0.0,0.0,false,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,ArmMove
2.5,false,false,true,false,false,false,false,-1.570876168255353E-6,-6.418652581627882E-4,7.559457272510173E-5,-8.79380147388531E-4,-1.106125525556223E-4,-1.570503482239971E-5,-0.0017922999149711343,-0.04703356869715336,0.003926990760838662,-0.015442597496573614,-0.017963120661957203,-0.01045454463541895,0.0,0.0,0.0,0.0,0.0,0.0,-38.01164868850968,54.62066676824277,12.229419952530776,0.2821917221335285,0.4338914875874881,0.5391470075627638,false,false,false,0,0,0,true,false,false,0,23,1,0.0,0.0,0.0,0.0,0.0,0.0,false,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,ArmMove
3.0,true,false,true,false,false,false,false,-0.08099154865197677,-0.11375719809232265,0.11451499228367368,-0.10871577991140358,-0.1508554499391792,-0.06604008074359191,-0.6763867166728199,-0.9243131211794183,0.8455509431979105,-0.9514106357812783,-0.8917064591904745,-0.01790670730219584,0.0,0.0,0.0,0.0,0.0,0.0,808.5920781668466,46.051930081354115,12.12052606049583,0.9780482086011499,-25.4248109281165,-3.439605375981884,false,false,false,0,0,0,true,false,false,0,23,1,0.0,0.0,0.0,0.0,0.0,0.0,false,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,ArmMove
3.5,true,false,true,false,false,false,false,-0.6082824747375,-0.7321498154818187,0.6605574723797853,-0.6903900915235428,-0.6513984920696441,-0.0673006894325332,-0.9773809208519988,-1.2915094913913903,1.2766992146086504,-1.4781340346876486,-1.1729157099459793,-0.00930330538597721,0.0,0.0,0.0,0.0,0.0,0.0,775.8396005339459,52.908229278076305,8.941694062383778,-3.4852697039551734,1.6710475134811944,-8.947815981560712,false,false,false,0,0,0,true,false,false,0,23,1,0.0,0.0,0.0,0.0,0.0,0.0,false,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,ArmMove
4.0,true,false,true,false,false,false,false,-1.1518611014088123,-1.3134941107601232,1.220942473135933,-1.3861298827125141,-1.1683534813956813,-0.0667775323598474,-1.1857525541200709,-1.1517054512019318,1.071669813200248,-1.5295819018694086,-0.8827680444558125,-0.009699226710056668,0.0,0.0,0.0,0.0,0.0,0.0,597.645793920275,14.624378878568981,-16.77905441915895,-0.36175063991372003,-5.008702845140497,0.30315991389576685,false,false,false,0,0,0,true,false,false,0,23,1,0.0,0.0,0.0,0.0,0.0,0.0,false,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,ArmMove
4.5,true,true,true,false,false,false,false,-1.5946545427074676,-1.7175085711569764,1.6230763744269856,-2.113128527543741,-1.491429290792695,-0.06712912453576259,-0.32242186617649726,-0.2788019710240794,0.20345297008589486,-0.5812390719481344,-0.07891552227813224,-0.009179919691691638,0.0,0.0,0.0,0.0,0.0,0.0,264.6226043310298,12.529066809547976,-6.889383870667075,-19.68718021388374,-11.650329853707182,-1.218993424438326,false,false,false,0,0,0,true,false,false,0,23,1,0.0,0.0,0.0,0.0,0.0,0.0,false,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,ArmMove
