time,{mapping}.mapping.feasibleMoveDiscreteCommand,{mapping}.mapping.robotStopped,{mapping}.mapping.gripperOpened,{mapping}.mapping.collision,{mapping}.mapping.gripperClosed,{mapping}.mapping.nonfeasibleMoveDiscreteCommand,{mapping}.mapping.moveCompleted,{mapping}.mapping.q0,{mapping}.mapping.q1,{mapping}.mapping.q2,{mapping}.mapping.q3,{mapping}.mapping.q4,{mapping}.mapping.q5,{mapping}.mapping.qd0,{mapping}.mapping.qd1,{mapping}.mapping.qd2,{mapping}.mapping.qd3,{mapping}.mapping.qd4,{mapping}.mapping.qd5,{mapping}.mapping.qdd0,{mapping}.mapping.qdd1,{mapping}.mapping.qdd2,{mapping}.mapping.qdd3,{mapping}.mapping.qdd4,{mapping}.mapping.qdd5,{mapping}.mapping.t0,{mapping}.mapping.t1,{mapping}.mapping.t2,{mapping}.mapping.t3,{mapping}.mapping.t4,{mapping}.mapping.t5,{rmqfmu}.rmqfmu.closeGripperCommand,{rmqfmu}.rmqfmu.openGripperCommand,{rmqfmu}.rmqfmu.moveDiscreteCommand,{rmqfmu}.rmqfmu.MovementArgs_target_X,{rmqfmu}.rmqfmu.MovementArgs_target_Y,{rmqfmu}.rmqfmu.MovementArgs_target_Z,{dmodel}.dmodel.movediscrete,{dmodel}.dmodel.pick,{dmodel}.dmodel.place,{dmodel}.dmodel.target_X,{dmodel}.dmodel.target_Y,{dmodel}.dmodel.target_Z,{dmodel}.dmodel.closing_diameter,{dmodel}.dmodel.closing_speed,{dmodel}.dmodel.closing_force,{dmodel}.dmodel.opening_diameter,{dmodel}.dmodel.opening_speed,{dmodel}.dmodel.opening_force,{dmodel}.dmodel.stop,{dmodel}.dmodel.movejoint,{dmodel}.dmodel.target_q0,{dmodel}.dmodel.target_q1,{dmodel}.dmodel.target_q2,{dmodel}.dmodel.target_q3,{dmodel}.dmodel.target_q4,{dmodel}.dmodel.target_q5,{dmodel}.dmodel.movecartesian,{dmodel}.dmodel.target_x,{dmodel}.dmodel.target_y,{dmodel}.dmodel.target_z,{dmodel}.dmodel.target_rx,{dmodel}.dmodel.target_ry,{dmodel}.dmodel.target_rz,{dmodel}.dmodel.setvelocity,{dmodel}.dmodel.target_v,{dmodel}.dmodel.state
0.0,false,false,false,false,false,false,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,false,false,false,0,0,0,false,false,false,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,false,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,
0.25,false,true,true,false,false,false,true,1.824325129184956E-6,6.40598033593065E-4,1.3766765505351941E-14,-2.4643006958857683E-4,3.409084480487934E-6,-3.739434606075953E-4,4.148155850813939E-4,-0.0312612673350372,8.881784197001442E-14,-0.010753973945832003,-2.4830533842390954E-4,-0.0031641126642335104,0.0,0.0,0.0,0.0,0.0,0.0,-41.81653237396024,39.422803684643654,9.751052233994669,-1.9839894663967854,0.009859300388344058,-0.958447358056073,false,false,false,0,0,0,false,false,false,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,false,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,
0.5,false,true,true,false,false,false,true,-5.5948856712007E-6,-0.0022422417893261937,1.4210854715202004E-14,-8.784848561322889E-4,3.310382905574727E-6,-2.2051721772120558E-4,3.744204923883467E-4,0.039686968970632244,-8.881784197001442E-14,0.01338939758195352,-2.233524281081193E-5,0.007908157750957824,0.0,0.0,0.0,0.0,0.0,0.0,-43.789113817806715,42.18641053004393,10.694042952733303,-1.6301351277381209,-0.03807010502589403,-1.0632974476262882,false,false,false,0,0,0,false,false,false,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,false,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,
0.75,false,true,true,false,false,false,true,1.1062878919609886E-6,9.479719464091652E-4,1.2878587085651816E-14,1.9535120596403388E-4,5.774116422330167E-6,-2.7915678953327472E-5,7.150917680221066E-5,-0.041741665264539485,0.0,-0.0177679238502652,-3.561325216949816E-4,-0.007732593703391353,0.0,0.0,0.0,0.0,0.0,0.0,-43.4244225890454,36.26571962434271,6.91788053596733,-4.269644794016762,-0.06719330918424661,-6.1439096180364405,false,false,false,0,0,0,false,false,false,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,false,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,
1.0,false,true,true,false,false,false,true,-1.282579920625082E-5,-0.001581267315971413,9.769962616701378E-15,-4.755547404684535E-4,-2.6411713505147816E-6,-1.211858920426856E-4,-0.0013975953220502233,-0.003876310582828862,-8.881784197001442E-14,-0.0024845858543010553,-2.306354049075359E-4,0.0031462517626757564,0.0,0.0,0.0,0.0,0.0,0.0,-45.14887759523831,49.13261328010994,15.266411484775054,0.5891642300272935,-0.023661934394030193,-0.3028471926899961,false,false,true,0,23,1,false,false,false,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,false,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,
1.25,false,true,true,false,false,false,true,-1.2200598620282221E-7,-6.166525328623607E-4,1.1546319456101628E-14,-3.939224125515395E-4,-3.8964653601425425E-6,-2.8170145352035547E-4,1.1396432348931527E-4,-0.0179083754384916,8.881784197001442E-14,-0.00213291915445173,-2.3430254429968544E-4,-0.00428200718713976,0.0,0.0,0.0,0.0,0.0,0.0,-44.17717565280718,28.367925795384565,1.2392222271116977,-8.426307292941177,-0.027546709322931233,5.00567657288471,false,false,true,0,23,1,true,false,false,0,23,1,0.0,0.0,0.0,0.0,0.0,0.0,false,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,ArmMove
1.5,false,false,true,false,false,false,false,-5.162103224876091E-7,-8.301053136721137E-4,1.7763568394002505E-14,-2.5410790573454634E-4,-7.932590641601678E-5,-9.066372694861435E-4,-0.016844145739547758,-0.0030419594807540957,0.035342917158765676,-0.040370651181388134,-0.0603214968291978,-0.06004594153230641,0.0,0.0,0.0,0.0,0.0,0.0,-26.84167135921826,58.142739553841025,24.07244199739017,9.928119999674903,-0.24913623817446187,7.647503571818056,false,false,true,0,23,1,true,false,false,0,23,1,0.0,0.0,0.0,0.0,0.0,0.0,false,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,ArmMove
1.75,true,false,true,false,false,false,false,-0.04862051229312847,-0.05470033248800421,0.06643487026627959,-0.08108100326497736,-0.06482588727319039,-0.04364327100884546,-0.38102485681320275,-0.4125332642165612,0.47516598442972524,-0.5531263712169061,-0.46671213213810175,-0.13517743534610394,0.0,0.0,0.0,0.0,0.0,0.0,465.85808749690415,58.96419851606447,24.226208502390932,6.394833466764089,0.7718528122345976,2.6221959143244846,false,false,false,0,0,0,true,false,false,0,23,1,0.0,0.0,0.0,0.0,0.0,0.0,false,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,ArmMove
2.0,true,false,true,false,false,false,false,-0.17634445699681,-0.19752499751562036,0.21748155907498656,-0.24638970732512533,-0.21409081287762133,-0.06711754361053934,-0.7686464327504248,-0.8352397566768488,0.7899293176116542,-0.8381230281140973,-0.8447989903254085,-0.012676354388219395,0.0,0.0,0.0,0.0,0.0,0.0,553.196579294924,60.80927487014036,23.346459389354607,7.757306057077284,-2.5960555874325304,-4.0240265449239745,false,false,false,0,0,0,true,false,false,0,23,1,0.0,0.0,0.0,0.0,0.0,0.0,false,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,ArmMove
2.25,true,false,true,false,false,false,false,-0.5709619506185244,-0.6295566864628444,0.6022960403992972,-0.6403750510492254,-0.5961508547332217,-0.06776138794860787,-1.0487368117227949,-1.0308883782801146,1.0471649082541614,-1.0469898189905404,-1.0420350005377665,0.004996255593692318,0.0,0.0,0.0,0.0,0.0,0.0,464.75616204252094,24.361380089096123,-7.339443451477007,-3.2644976389076654,3.2406071641754544,-3.7379200228760086,false,false,false,0,0,0,true,false,false,0,23,1,0.0,0.0,0.0,0.0,0.0,0.0,false,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,ArmMove
2.5,true,false,true,false,false,false,false,-0.7579055464333733,-0.842102287759495,0.8640959054578365,-0.9039040808272869,-0.8567259909958653,-0.06722544098171612,-1.0322254273390448,-1.0523211482368697,1.0471989523194976,-1.045850019758113,-1.0560302848474328,-0.00490888918305211,0.0,0.0,0.0,0.0,0.0,0.0,514.4981835122313,47.32217762753103,3.7790262972129676,-7.589432556746425,-11.818767733697612,-8.774815658815863,false,false,false,0,0,0,true,false,false,0,23,1,0.0,0.0,0.0,0.0,0.0,0.0,false,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,ArmMove
2.75,true,false,true,false,false,false,false,-1.1012723447388355,-1.2668105249153916,1.2275270232928372,-1.3252668555528642,-1.2497773694469627,-0.06695881606879794,-0.6368096332523335,-1.0155264605890413,0.9654480219256013,-1.071049177399718,-0.8213021209981402,0.02106286559539709,0.0,0.0,0.0,0.0,0.0,0.0,858.6809581985186,55.666808411092305,15.338914266870656,-0.23273026811101918,-6.397821878878559,-10.182211955724572,false,false,false,0,0,0,true,false,false,0,23,1,0.0,0.0,0.0,0.0,0.0,0.0,false,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,ArmMove
