time,{mapping}.mapping.feasibleMoveDiscreteCommand,{mapping}.mapping.robotStopped,{mapping}.mapping.gripperOpened,{mapping}.mapping.collision,{mapping}.mapping.gripperClosed,{mapping}.mapping.nonfeasibleMoveDiscreteCommand,{mapping}.mapping.moveCompleted,{mapping}.mapping.q0,{mapping}.mapping.q1,{mapping}.mapping.q2,{mapping}.mapping.q3,{mapping}.mapping.q4,{mapping}.mapping.q5,{mapping}.mapping.qd0,{mapping}.mapping.qd1,{mapping}.mapping.qd2,{mapping}.mapping.qd3,{mapping}.mapping.qd4,{mapping}.mapping.qd5,{mapping}.mapping.qdd0,{mapping}.mapping.qdd1,{mapping}.mapping.qdd2,{mapping}.mapping.qdd3,{mapping}.mapping.qdd4,{mapping}.mapping.qdd5,{mapping}.mapping.t0,{mapping}.mapping.t1,{mapping}.mapping.t2,{mapping}.mapping.t3,{mapping}.mapping.t4,{mapping}.mapping.t5,{rmqfmu}.rmqfmu.closeGripperCommand,{rmqfmu}.rmqfmu.openGripperCommand,{rmqfmu}.rmqfmu.moveDiscreteCommand,{rmqfmu}.rmqfmu.MovementArgs_target_X,{rmqfmu}.rmqfmu.MovementArgs_target_Y,{rmqfmu}.rmqfmu.MovementArgs_target_Z,{dmodel}.dmodel.movediscrete,{dmodel}.dmodel.pick,{dmodel}.dmodel.place,{dmodel}.dmodel.target_X,{dmodel}.dmodel.target_Y,{dmodel}.dmodel.target_Z,{dmodel}.dmodel.closing_diameter,{dmodel}.dmodel.closing_speed,{dmodel}.dmodel.closing_force,{dmodel}.dmodel.opening_diameter,{dmodel}.dmodel.opening_speed,{dmodel}.dmodel.opening_force,{dmodel}.dmodel.stop,{dmodel}.dmodel.movejoint,{dmodel}.dmodel.target_q0,{dmodel}.dmodel.target_q1,{dmodel}.dmodel.target_q2,{dmodel}.dmodel.target_q3,{dmodel}.dmodel.target_q4,{dmodel}.dmodel.target_q5,{dmodel}.dmodel.movecartesian,{dmodel}.dmodel.target_x,{dmodel}.dmodel.target_y,{dmodel}.dmodel.target_z,{dmodel}.dmodel.target_rx,{dmodel}.dmodel.target_ry,{dmodel}.dmodel.target_rz,{dmodel}.dmodel.setvelocity,{dmodel}.dmodel.target_v,{dmodel}.dmodel.state
5.0,true,true,true,false,false,false,false,-1.6632262366552206,-1.7473251427474912,1.6469866538189946,-2.264792690944337,-1.5024571148762513,-0.06727050370366472,9.214474282258303E-4,0.07874186440533938,0.010456111352395468,-0.024901014632479616,-0.019409881892148723,-0.001138540892320172,0.0,0.0,0.0,0.0,0.0,0.0,-0.36109079652727627,49.22829943089381,15.800401174091013,1.984857626158984,-0.4092022791125595,-0.2358747867266054,false,false,false,0,0,0,true,false,false,0,23,1,0.0,0.0,0.0,0.0,0.0,0.0,false,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,ArmMove
5.5,true,true,true,false,false,false,true,-1.6656262504740331,-1.7407927393637808,1.648580362757749,-2.264557689240445,-1.5034648077132458,-0.06703045106467487,-0.006519281756566333,-0.022114852064088905,-8.149507202402764E-6,-5.002357235993955E-4,0.01054165309692769,-0.00861148502506602,0.0,0.0,0.0,0.0,0.0,0.0,-19.567385445757097,47.559229372507644,20.45311011360281,4.695144111786833,-6.641505297201862,-4.332225980289603,false,false,false,0,0,0,true,false,false,0,23,1,0.0,0.0,0.0,0.0,0.0,0.0,false,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,ArmMove
6.0,true,true,true,false,false,false,true,-1.6658670514928557,-1.7402518724081872,1.648580510747947,-2.263746987449818,-1.5036466746757542,-0.06700230158350795,-0.007144639831934134,0.04904109172620196,0.0,0.02072721079730786,-0.017331186391975128,-0.013642933059185935,0.0,0.0,0.0,0.0,0.0,0.0,-18.433504086045907,34.077725859249746,10.455230107717949,-2.3350197967677717,-3.250395008787271,-3.49254187749399,false,false,false,0,0,0,true,false,false,0,23,1,0.0,0.0,0.0,0.0,0.0,0.0,true,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,ArmStop
6.5,true,true,true,false,false,false,true,-1.6658754168523586,-1.7410836329789126,1.6485805107479443,-2.2637535273184204,-1.5036371739076522,-0.06702233544194636,-0.0031874700015416826,-0.06094495582774797,1.7763568393999728E-13,-0.00235705400051208,-0.005670925487065938,-0.008164187074032159,0.0,0.0,0.0,0.0,0.0,0.0,-38.13020714151221,34.26898303254918,10.285184503201618,-2.8183593495146377,4.540810965753945,4.1156338925246825,false,false,true,3,20,2,true,false,false,0,23,1,0.0,0.0,0.0,0.0,0.0,0.0,true,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,ArmStop
7.0,true,true,true,false,false,false,true,-1.665741574190963,-1.741074501208245,1.6485805107479443,-2.264042509834044,-1.5037590971875447,-0.06778648753732108,0.0054280265430853136,0.04758054152311042,0.0,0.01049366532761389,0.0018832122288256312,0.0064085395629288585,0.0,0.0,0.0,0.0,0.0,0.0,-56.92912085005072,30.142511653353257,17.21287252203989,2.854002621633586,-4.271475400175365,2.921322457879236,false,false,false,0,0,0,true,false,false,3,20,2,0.0,0.0,0.0,0.0,0.0,0.0,true,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,ArmMove
7.5,true,false,true,false,false,false,false,-1.6660642958448024,-1.7406558643421475,1.648656105320657,-2.263446810547391,-1.503357362071367,-0.06844574755968003,-0.011806371245269107,-0.08400690493049831,0.035342917302466664,0.03207079424960067,0.02874995145382803,-0.03863959082792086,0.0,0.0,0.0,0.0,0.0,0.0,-10.170030168017902,15.343728108121237,-5.216346718348535,-15.116278916552677,1.1232512614502606,1.7527506359783682,false,false,false,0,0,0,true,false,false,3,20,2,0.0,0.0,0.0,0.0,0.0,0.0,true,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,ArmStop
8.0,true,false,true,false,false,false,false,-1.7501760071704284,-1.8213443452736113,1.7329804055904363,-2.196946881621593,-1.4028227431432168,-0.1772464393284734,-0.45504672161779774,-0.4616292044057946,0.4365480925019966,0.22033677908407265,0.4338348319893758,-0.4694181174139599,0.0,0.0,0.0,0.0,0.0,0.0,359.50570284795486,39.41872161909025,14.864722539030197,7.384128976488348,1.9838295085874864,-0.3939278339663651,false,false,false,0,0,0,true,false,false,3,20,2,0.0,0.0,0.0,0.0,0.0,0.0,true,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,ArmStop
8.5,true,false,true,false,false,false,false,-2.109020525240724,-2.0883835922438854,1.9992734937981629,-2.1318782628531032,-1.126417958903981,-0.4898650958405564,-0.5549595580460774,-0.23893274483995514,0.18119545678751348,-0.006545775570642263,0.23770864003541284,-0.33330940911330603,0.0,0.0,0.0,0.0,0.0,0.0,294.3705235362915,16.503555055316024,12.625811147399563,-0.367785342619657,4.143955829283018,-0.8542397935974556,false,false,false,0,0,0,true,false,false,3,20,2,0.0,0.0,0.0,0.0,0.0,0.0,true,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,ArmStop
9.0,true,true,true,false,false,false,false,-2.2606880935285547,-2.1344290596283084,2.0425936106770184,-2.1302942662782014,-1.085651682367426,-0.5526001451239746,-0.23210880358718025,0.03180719073387408,0.0125862214259678,0.014879441569346402,0.03340023983362006,-0.055404150148677056,0.0,0.0,0.0,0.0,0.0,0.0,159.72509747151668,16.773868092537064,12.296265824276945,-2.2829804224619124,-5.528444697531528,4.25854620715195,false,false,true,8,10,0,true,false,false,3,20,2,0.0,0.0,0.0,0.0,0.0,0.0,true,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,ArmStop
9.5,true,true,true,false,false,false,true,-2.2931131099724693,-2.1278556356534972,2.0435605424998284,-2.1302139372987154,-1.0840762582553092,-0.557336673976188,0.00871000173230249,-0.032244030891165856,0.0,-0.014513560622118012,0.015498571311842532,-0.0032892577059401703,0.0,0.0,0.0,0.0,0.0,0.0,-30.699533782759897,11.586853142712048,8.72333744414227,-3.7808792243647327,11.583865501294646,3.822993396295986,false,false,false,0,0,0,true,false,false,8,10,0,0.0,0.0,0.0,0.0,0.0,0.0,true,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,ArmMove
