time,{dmodel}.dmodel.movediscrete,{dmodel}.dmodel.pick,{dmodel}.dmodel.place,{dmodel}.dmodel.target_X,{dmodel}.dmodel.target_Y,{dmodel}.dmodel.target_Z,{dmodel}.dmodel.closing_diameter,{dmodel}.dmodel.closing_speed,{dmodel}.dmodel.closing_force,{dmodel}.dmodel.opening_diameter,{dmodel}.dmodel.opening_speed,{dmodel}.dmodel.opening_force,{dmodel}.dmodel.stop,{dmodel}.dmodel.movejoint,{dmodel}.dmodel.target_q0,{dmodel}.dmodel.target_q1,{dmodel}.dmodel.target_q2,{dmodel}.dmodel.target_q3,{dmodel}.dmodel.target_q4,{dmodel}.dmodel.target_q5,{dmodel}.dmodel.movecartesian,{dmodel}.dmodel.target_x,{dmodel}.dmodel.target_y,{dmodel}.dmodel.target_z,{dmodel}.dmodel.target_rx,{dmodel}.dmodel.target_ry,{dmodel}.dmodel.target_rz,{dmodel}.dmodel.setvelocity,{dmodel}.dmodel.target_v,{dmodel}.dmodel.state,{mapping}.mapping.feasibleMoveDiscreteCommand,{mapping}.mapping.robotStopped,{mapping}.mapping.gripperOpened,{mapping}.mapping.collision,{mapping}.mapping.gripperClosed,{mapping}.mapping.nonfeasibleMoveDiscreteCommand,{mapping}.mapping.moveCompleted,{mapping}.mapping.q0,{mapping}.mapping.q1,{mapping}.mapping.q2,{mapping}.mapping.q3,{mapping}.mapping.q4,{mapping}.mapping.q5,{mapping}.mapping.qd0,{mapping}.mapping.qd1,{mapping}.mapping.qd2,{mapping}.mapping.qd3,{mapping}.mapping.qd4,{mapping}.mapping.qd5,{mapping}.mapping.qdd0,{mapping}.mapping.qdd1,{mapping}.mapping.qdd2,{mapping}.mapping.qdd3,{mapping}.mapping.qdd4,{mapping}.mapping.qdd5,{mapping}.mapping.t0,{mapping}.mapping.t1,{mapping}.mapping.t2,{mapping}.mapping.t3,{mapping}.mapping.t4,{mapping}.mapping.t5,{rmqfmu}.rmqfmu.closeGripperCommand,{rmqfmu}.rmqfmu.openGripperCommand,{rmqfmu}.rmqfmu.moveDiscreteCommand,{rmqfmu}.rmqfmu.MovementArgs_target_X,{rmqfmu}.rmqfmu.MovementArgs_target_Y,{rmqfmu}.rmqfmu.MovementArgs_target_Z
5.0,true,false,false,0,23,1,0.0,0.0,0.0,0.0,0.0,0.0,true,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,ArmStop,true,true,true,false,false,false,true,-1.665764633809225,-1.739296098748678,1.6486056486712855,-2.2632395229735316,-1.5036738554583948,-0.06728870073427373,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2765775550827676,14.265297395360397,-15.59716772972842,0.04986065164048059,-0.053863619240231475,0.023714152228216212,false,false,false,0,0,0
5.5,true,false,false,0,23,1,0.0,0.0,0.0,0.0,0.0,0.0,true,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,ArmStop,true,true,true,false,false,false,true,-1.665764633809225,-1.739296098748678,1.6486056486712855,-2.2632395229735316,-1.5036738554583948,-0.06728870073427373,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2765775550827676,14.265297395360397,-15.59716772972842,0.04986065164048059,-0.053863619240231475,0.023714152228216212,false,false,false,0,0,0
6.0,true,false,false,0,23,1,0.0,0.0,0.0,0.0,0.0,0.0,true,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,ArmStop,true,true,true,false,false,false,true,-1.665764633809225,-1.739296098748678,1.6486294905291956,-2.2632438145079554,-1.503641430531637,-0.06724244752992803,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.232916722747591,14.160370174573085,-15.866694613038442,0.05798544041129853,-0.05411557340628184,0.02307638264104876,false,false,false,0,0,0
6.5,true,false,false,0,23,1,0.0,0.0,0.0,0.0,0.0,0.0,true,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,ArmStop,true,true,true,false,false,false,true,-1.6657727400409144,-1.7392546139159144,1.6485684553729456,-2.2632395229735316,-1.5037158171283167,-0.06729156175722295,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.312389659029437,13.934260257165192,-15.789961830501342,0.05776309233652973,-0.049607868933633906,0.01902623182740594,false,false,true,3,20,2
7.0,true,false,false,3,20,2,0.0,0.0,0.0,0.0,0.0,0.0,true,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,ArmMove,true,true,true,false,false,false,true,-1.6657727400409144,-1.7392546139159144,1.6485684553729456,-2.2632395229735316,-1.5037158171283167,-0.06729156175722295,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.312389659029437,13.934260257165192,-15.789961830501342,0.05776309233652973,-0.049607868933633906,0.01902623182740594,false,false,false,0,0,0
7.5,true,false,false,3,20,2,0.0,0.0,0.0,0.0,0.0,0.0,true,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,ArmStop,true,false,true,false,false,false,true,-2.2599008719073694,-2.107194562951559,2.022560421620504,-2.137262006799215,-1.1065853277789515,-0.531041447316305,-0.3058035373687744,-0.18890467286109924,0.19351577758789062,0.06556157022714615,0.20630909502506256,-0.24205364286899567,0.0,0.0,0.0,0.0,0.0,0.0,0.9987579283396899,14.13819831529719,-16.31214249231424,0.04370697391175275,0.11750815355841243,-0.2761795846183268,false,false,false,0,0,0
8.0,true,false,false,3,20,2,0.0,0.0,0.0,0.0,0.0,0.0,true,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,ArmStop,true,true,true,false,false,false,true,-2.2930098215686243,-2.1277362308897914,2.043588940297262,-2.1302229366698207,-1.0843756834613245,-0.5571892897235315,2.151249282178469E-5,-1.4927003940101713E-4,-0.0,1.5403273573610932E-4,0.0012098528677597642,-1.951099984580651E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.9260242639546599,14.029960489730259,-15.486633275766483,0.06000487386841945,0.1360927228640613,-0.23162063845374642,false,false,false,0,0,0
8.5,true,false,false,3,20,2,0.0,0.0,0.0,0.0,0.0,0.0,true,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,ArmStop,true,true,true,false,false,false,true,-2.2930577437030237,-2.1278258762755335,2.043588940297262,-2.130218645135397,-1.0843594709979456,-0.5571430365191858,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1238670185014596,13.985646846976088,-15.540641131082635,0.056510256259044156,0.12429000688920364,-0.2350996540940707,false,false,false,0,0,0
9.0,true,false,false,3,20,2,0.0,0.0,0.0,0.0,0.0,0.0,true,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,ArmStop,true,true,true,false,false,false,true,-2.2930577437030237,-2.1278258762755335,2.043588940297262,-2.130218645135397,-1.0843594709979456,-0.5571430365191858,0.0,0.0,-0.0,2.9257710636637856E-41,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.151835157864064,13.679010786820621,-15.582677495887,0.05816089828908204,0.11920878647996025,-0.2362744954780452,false,false,true,8,10,0
9.5,true,false,false,8,10,0,0.0,0.0,0.0,0.0,0.0,0.0,true,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,ArmMove,true,true,true,false,false,false,true,-2.293032948170797,-2.1278258762755335,2.0436137358294886,-2.1302391491331996,-1.0844138304339808,-0.5572107473956507,0.0,0.0,-0.0,2.9257710636637856E-41,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.151835157864064,13.679010786820621,-15.582677495887,0.05816089828908204,0.11920878647996025,-0.2362744954780452,false,false,false,0,0,0
