time,{dmodel}.dmodel.movediscrete,{dmodel}.dmodel.pick,{dmodel}.dmodel.place,{dmodel}.dmodel.target_X,{dmodel}.dmodel.target_Y,{dmodel}.dmodel.target_Z,{dmodel}.dmodel.closing_diameter,{dmodel}.dmodel.closing_speed,{dmodel}.dmodel.closing_force,{dmodel}.dmodel.opening_diameter,{dmodel}.dmodel.opening_speed,{dmodel}.dmodel.opening_force,{dmodel}.dmodel.stop,{dmodel}.dmodel.movejoint,{dmodel}.dmodel.target_q0,{dmodel}.dmodel.target_q1,{dmodel}.dmodel.target_q2,{dmodel}.dmodel.target_q3,{dmodel}.dmodel.target_q4,{dmodel}.dmodel.target_q5,{dmodel}.dmodel.movecartesian,{dmodel}.dmodel.target_x,{dmodel}.dmodel.target_y,{dmodel}.dmodel.target_z,{dmodel}.dmodel.target_rx,{dmodel}.dmodel.target_ry,{dmodel}.dmodel.target_rz,{dmodel}.dmodel.setvelocity,{dmodel}.dmodel.target_v,{dmodel}.dmodel.state,{mapping}.mapping.feasibleMoveDiscreteCommand,{mapping}.mapping.robotStopped,{mapping}.mapping.gripperOpened,{mapping}.mapping.collision,{mapping}.mapping.gripperClosed,{mapping}.mapping.nonfeasibleMoveDiscreteCommand,{mapping}.mapping.moveCompleted,{mapping}.mapping.q0,{mapping}.mapping.q1,{mapping}.mapping.q2,{mapping}.mapping.q3,{mapping}.mapping.q4,{mapping}.mapping.q5,{mapping}.mapping.qd0,{mapping}.mapping.qd1,{mapping}.mapping.qd2,{mapping}.mapping.qd3,{mapping}.mapping.qd4,{mapping}.mapping.qd5,{mapping}.mapping.qdd0,{mapping}.mapping.qdd1,{mapping}.mapping.qdd2,{mapping}.mapping.qdd3,{mapping}.mapping.qdd4,{mapping}.mapping.qdd5,{mapping}.mapping.t0,{mapping}.mapping.t1,{mapping}.mapping.t2,{mapping}.mapping.t3,{mapping}.mapping.t4,{mapping}.mapping.t5,{controller}.controller.closeGripperCommand,{controller}.controller.openGripperCommand,{controller}.controller.moveDiscreteCommand,{controller}.controller.MovementArgs_target_X,{controller}.controller.MovementArgs_target_Y,{controller}.controller.MovementArgs_target_Z
0.0,false,false,false,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,false,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,,false,false,false,false,false,false,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,false,false,false,0,0,0
0.5,false,false,false,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,false,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,,false,true,true,false,false,false,true,-3.724230987600663E-6,-6.323687518747789E-4,-4.440892098500626E-16,-2.330191711745755E-4,1.0766801025408057E-5,-1.9885991906587464E-4,4.595937888041131E-5,-0.005289314095513471,8.881784197001245E-14,-0.0013824844164567183,-2.874044984224608E-4,0.0070370914386330636,0.0,0.0,0.0,0.0,0.0,0.0,-44.27718972238314,48.98184570053826,15.13750433261888,1.9715651319928085,-0.07718348766033298,1.4293450876292249,false,false,false,0,0,0
1.0,false,false,false,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,false,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,,false,true,true,false,false,false,true,1.534391175006533E-6,-9.33399840861604E-4,4.440892098500626E-16,-3.652177996542605E-4,1.7700402665798975E-5,-2.0498301781657347E-4,1.1115403379946533E-4,-0.006732664250463921,8.881784197001245E-14,-0.0015313546761319672,-1.0069408400426018E-4,3.3373812238224305E-4,0.0,0.0,0.0,0.0,0.0,0.0,-44.5029304690404,36.58350146245085,5.893295659866515,-5.507611074760874,-0.07623878922275383,-3.423193169916125,false,false,false,0,0,0
1.5,false,false,false,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,false,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,,false,true,true,false,false,false,true,1.8453122017092483E-6,-6.277560624634582E-4,4.440892098500626E-16,-2.3591860115024232E-4,1.2865075487145106E-5,-2.056888976711413E-4,-2.383781233739108E-4,-0.07052804487513037,-8.881784197001442E-14,-0.02266138833002577,-3.1952569212734945E-5,0.005201899827867007,0.0,0.0,0.0,0.0,0.0,0.0,-46.10256205247494,48.12771083623285,15.551550081253017,1.4721253796956009,0.027817179913600637,0.24306103479156316,false,false,true,0,23,1
2.0,true,false,false,0,23,1,0.0,0.0,0.0,0.0,0.0,0.0,false,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,ArmMove,false,true,true,false,false,false,true,3.302836182772495E-6,-4.077165436400243E-4,4.440892098500626E-16,-1.7521050103264102E-4,1.3598533897596354E-5,-7.536534094487735E-5,2.7301633043209122E-5,-0.05507653066017088,0.0,-0.01954031968090006,5.38283643436455E-4,0.0024621399396629854,0.0,0.0,0.0,0.0,0.0,0.0,-44.338324475156504,41.34125387822935,10.002927653618059,-2.7313023504220704,0.06399215308148017,-1.5996121863381845,false,false,false,0,0,0
2.5,true,false,false,0,23,1,0.0,0.0,0.0,0.0,0.0,0.0,false,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,ArmMove,false,false,true,false,false,false,false,-8.194397822958166E-6,1.5520930331103244E-4,8.881784197001252E-16,3.458779632259379E-5,1.1186992918688077E-6,-8.591662072809925E-5,7.374558342654482E-4,-0.041346453883140726,0.0,-0.012919637011066519,-1.5623765875697138,-0.5260485145648032,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,373.8604964020226,264.1828080127687,228.74406608406906,14.080548965148026,166.729543559862,false,false,false,0,0,0
3.0,true,false,false,0,23,1,0.0,0.0,0.0,0.0,0.0,0.0,false,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,ArmMove,true,false,true,false,false,false,false,-0.27693412974111453,-0.3045370392030593,0.314150846500739,-0.31144929245502784,-0.31284053045678073,-0.06640518651384042,-1.569117883608351,-1.5684011826496815,1.57075659810223,-1.5694737857289256,-1.5717343785158435,-0.021729372418466862,0.0,0.0,0.0,0.0,0.0,0.0,526.3777097366641,16.891517573325594,-10.117026627636559,-17.423086329384986,6.179335684217854,-20.34132990543628,false,false,false,0,0,0
3.5,true,false,false,0,23,1,0.0,0.0,0.0,0.0,0.0,0.0,false,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,ArmMove,true,false,true,false,false,false,false,-0.696995812590055,-0.7774732473538961,0.7853777438056797,-0.8624761691319094,-0.8596671862792107,-0.0672996784419242,-1.538760586730203,-1.6597206110194127,1.5707582469725148,-1.5775099307918319,-1.5394009589215658,0.029294166563076998,0.0,0.0,0.0,0.0,0.0,0.0,615.2920723472797,32.61871947426614,-1.0465435572504418,-12.65907375406621,15.482802902347775,-23.68324844609359,false,false,false,0,0,0
4.0,true,false,false,0,23,1,0.0,0.0,0.0,0.0,0.0,0.0,false,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,ArmMove,true,false,true,false,false,false,false,-1.1907209267720242,-1.3291009409161516,1.3351424845523558,-1.3344265390721235,-1.4069101170917282,-0.06687969838036079,-1.1593576382660478,-1.5733966754492792,1.5707568230631688,-1.573094793353247,-0.7791932584036043,-0.00790343973760005,0.0,0.0,0.0,0.0,0.0,0.0,545.3246360465328,62.55327537851035,26.99221917782602,11.259028042931481,-28.656410664015198,-3.030344428911096,false,false,false,0,0,0
4.5,true,false,false,0,23,1,0.0,0.0,0.0,0.0,0.0,0.0,false,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,ArmMove,true,true,true,false,false,false,false,-1.6130629450813698,-1.7281041198701983,1.6452815692183735,-1.8069261968767085,-1.5032191948066496,-0.0666024652770103,-1.1611374555746925,-0.21855206228150093,0.07331086745079475,-1.566484974263671,-0.008365085862571854,-0.008687745765456797,0.0,0.0,0.0,0.0,0.0,0.0,771.4341312135593,-28.155835898006266,-33.98911729226635,-37.58371370369323,-0.9244927118794735,13.361234657367191,false,false,false,0,0,0
