time,{mapping}.mapping.feasibleMoveDiscreteCommand,{mapping}.mapping.robotStopped,{mapping}.mapping.gripperOpened,{mapping}.mapping.collision,{mapping}.mapping.gripperClosed,{mapping}.mapping.nonfeasibleMoveDiscreteCommand,{mapping}.mapping.moveCompleted,{mapping}.mapping.q0,{mapping}.mapping.q1,{mapping}.mapping.q2,{mapping}.mapping.q3,{mapping}.mapping.q4,{mapping}.mapping.q5,{mapping}.mapping.qd0,{mapping}.mapping.qd1,{mapping}.mapping.qd2,{mapping}.mapping.qd3,{mapping}.mapping.qd4,{mapping}.mapping.qd5,{rmqfmu}.rmqfmu.closeGripperCommand,{rmqfmu}.rmqfmu.openGripperCommand,{rmqfmu}.rmqfmu.moveDiscreteCommand,{rmqfmu}.rmqfmu.MovementArgs_target_X,{rmqfmu}.rmqfmu.MovementArgs_target_Y,{rmqfmu}.rmqfmu.MovementArgs_target_Z,{dmodel}.dmodel.movediscrete,{dmodel}.dmodel.pick,{dmodel}.dmodel.place,{dmodel}.dmodel.target_X,{dmodel}.dmodel.target_Y,{dmodel}.dmodel.target_Z,{dmodel}.dmodel.closing_diameter,{dmodel}.dmodel.closing_speed,{dmodel}.dmodel.closing_force,{dmodel}.dmodel.opening_diameter,{dmodel}.dmodel.opening_speed,{dmodel}.dmodel.opening_force,{dmodel}.dmodel.stop,{dmodel}.dmodel.movejoint,{dmodel}.dmodel.target_q0,{dmodel}.dmodel.target_q1,{dmodel}.dmodel.target_q2,{dmodel}.dmodel.target_q3,{dmodel}.dmodel.target_q4,{dmodel}.dmodel.target_q5,{dmodel}.dmodel.movecartesian,{dmodel}.dmodel.target_x,{dmodel}.dmodel.target_y,{dmodel}.dmodel.target_z,{dmodel}.dmodel.target_rx,{dmodel}.dmodel.target_ry,{dmodel}.dmodel.target_rz,{dmodel}.dmodel.setvelocity,{dmodel}.dmodel.target_v,{dmodel}.dmodel.state
5.0,true,true,true,false,false,false,false,-1.663643326118322,-1.7539419580066502,1.6469532795335189,-2.249367711036302,-1.5035347320688457,-0.06799842527560074,-0.02396703676783199,0.0029419174950357906,0.002374765616330505,-0.12971823883096892,-0.00571760848764224,0.0012893500968223154,false,false,false,0,0,0,true,false,false,0,23,1,0.0,0.0,0.0,0.0,0.0,0.0,false,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,ArmMove
5.5,true,true,true,false,false,false,true,-1.6657723003287748,-1.7408645294455516,1.648580506258594,-2.2633026580987563,-1.5037862601422978,-0.06737729149093763,0.0040158579384546415,-0.05016046572609338,0.0,-0.018651724103688067,0.0019116272977012581,7.186180719819233E-4,false,false,false,0,0,0,true,false,false,0,23,1,0.0,0.0,0.0,0.0,0.0,0.0,false,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,ArmMove
6.0,true,true,true,false,false,false,true,-1.6657558724898989,-1.7399128447145742,1.6485805062585923,-2.263450201028106,-1.5034760692094205,-0.06707182733805306,0.0033585684210629984,-0.08677396524204604,0.0,0.0025698637211131617,0.0037117649764434072,-0.0070947937607523945,false,false,true,3,20,2,true,false,false,0,23,1,0.0,0.0,0.0,0.0,0.0,0.0,true,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,ArmStop
6.5,true,true,true,false,false,false,true,-1.665818756287801,-1.742611263485971,1.648580506258594,-2.2634711171548725,-1.5035574687978928,-0.06717773057002274,9.578675111752867E-4,0.02817550838631448,0.0,0.002847575146879943,0.011457330601414725,-0.00529646487192809,false,false,false,0,0,0,true,false,false,3,20,2,0.0,0.0,0.0,0.0,0.0,0.0,true,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,ArmMove
7.0,true,false,true,false,false,false,false,-1.6659504314557587,-1.740299012083141,1.6486561008315626,-2.2628817454196453,-1.503907432786848,-0.06864953665693196,-0.05675895609512872,-0.1575595134368977,0.062831853020552,0.031221260263686993,0.08736176039095567,-0.08126067365593466,false,false,false,0,0,0,true,false,false,3,20,2,0.0,0.0,0.0,0.0,0.0,0.0,true,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,ArmStop
7.5,true,false,true,false,false,false,false,-1.7471481624344962,-1.8524276990060535,1.7540632888264573,-2.1871524877411312,-1.4092781010575584,-0.1636509773075776,-0.48244200001061005,-0.49349768218461876,0.4365480720447607,0.2257223992493709,0.43235270390493585,-0.455247949688271,false,false,false,0,0,0,true,false,false,3,20,2,0.0,0.0,0.0,0.0,0.0,0.0,true,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,ArmStop
8.0,true,true,true,false,false,false,false,-2.074153512699916,-2.085013293909477,1.9831736883813198,-2.132122203431096,-1.1666709225217557,-0.43290605075795296,-0.639025703229279,-0.29624589507082166,0.34987347702694155,0.012286064814224529,0.3776688222220179,-0.4588899882836899,false,false,false,0,0,0,true,false,false,3,20,2,0.0,0.0,0.0,0.0,0.0,0.0,true,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,ArmStop
8.5,true,true,true,false,false,false,false,-2.267915697170814,-2.138586590841661,2.0429111267077156,-2.1302875207306826,-1.084349605614201,-0.5539432322138405,-0.15450893679067407,0.04157175040865784,1.2047470612228998E-4,-0.006831255741522922,-0.004057573718440542,-0.03672651907410932,false,false,true,8,10,0,true,false,false,3,20,2,0.0,0.0,0.0,0.0,0.0,0.0,true,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,ArmStop
9.0,true,true,true,false,false,false,true,-2.292932665579099,-2.129351969003502,2.043560535610065,-2.130097153408429,-1.084183573226908,-0.556903076173473,-0.006723595801004848,0.02992853581282405,0.0,0.01077816887100456,-0.007822462699101805,-0.003114607275022731,false,false,false,0,0,0,true,false,false,8,10,0,0.0,0.0,0.0,0.0,0.0,0.0,true,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,ArmMove
9.5,true,true,true,false,false,false,false,-2.2929736795768134,-2.1288708296697774,2.0434849410372147,-2.131827017103814,-1.0838331311618417,-0.5580332041109717,-0.006678958760274533,0.007152192211455902,-0.01570796319256583,-0.020137636246883212,0.010458127058042308,-0.008209320092332599,false,false,false,0,0,0,true,false,false,8,10,0,0.0,0.0,0.0,0.0,0.0,0.0,true,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,ArmStop
